,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,Customer Segment,Date
0,5524,58,12,1617,2,3,4,234,big_spenders,2012-04-09
1,2174,38,3,27,3,1,1,311,0,2014-08-03
2,4141,26,18,776,3,4,3,343,loyals,2013-08-21
3,6182,26,6,53,3,2,1,321,0,2014-10-02
4,5324,94,11,422,1,3,3,133,0,2014-01-19
5,7446,16,16,716,4,4,3,443,loyals,2013-09-09
6,965,34,14,590,3,3,3,333,0,2012-11-13
7,6177,32,8,169,3,2,2,322,0,2013-08-05
8,4855,19,5,46,4,1,1,411,rookies,2013-06-06
9,5899,68,1,49,2,1,1,211,0,2014-03-13
11,387,59,5,61,2,1,1,211,0,2012-11-13
12,2125,82,11,1102,1,3,4,134,big_spenders,2013-11-15
13,8180,53,11,310,2,3,2,232,0,2013-11-15
14,2569,38,4,46,3,1,1,311,0,2012-10-10
15,2114,23,19,1315,4,4,4,444,stars,2012-11-24
16,9736,51,6,96,2,2,2,222,0,2012-12-24
17,4939,20,10,317,4,2,2,422,0,2012-08-31
18,6565,91,20,1782,1,4,4,144,loyals,2013-03-28
19,2278,86,5,133,1,1,2,112,0,2012-03-11
20,9360,41,9,316,3,2,2,322,0,2012-08-08
21,5376,42,0,1730,3,1,4,314,big_spenders,2013-06-01
22,1993,63,11,972,2,3,3,233,0,2012-12-23
23,4047,0,15,544,4,4,3,443,loyals,2014-11-01
24,1409,69,12,444,2,3,3,233,0,2013-03-18
25,7892,89,5,75,1,1,2,112,0,2013-02-01
26,2404,4,9,257,4,2,2,422,0,2013-05-27
28,9422,26,6,131,3,2,2,322,0,2013-05-31
29,1966,96,16,1672,1,4,4,144,loyals,2013-11-22
30,6864,34,6,30,3,2,1,321,0,2014-05-22
31,3033,56,5,318,2,1,2,212,0,2013-11-05
32,5710,31,6,120,3,2,2,322,0,2012-10-10
33,7373,8,10,302,4,2,2,422,0,2012-10-29
34,8755,4,12,1196,4,3,4,434,big_spenders,2013-02-20
35,10738,55,5,65,2,1,1,211,0,2013-08-29
36,4339,37,17,913,3,4,3,343,loyals,2013-12-31
37,10755,76,5,81,1,1,2,112,0,2013-02-09
38,8595,99,4,67,1,1,1,111,lost,2014-11-02
39,2968,53,12,902,2,3,3,233,0,2013-01-02
40,8601,3,13,1395,4,3,4,434,big_spenders,2013-04-29
41,503,88,5,53,1,1,1,111,lost,2013-12-03
42,8430,4,3,22,4,1,1,411,rookies,2012-12-24
44,2139,19,5,31,4,1,1,411,rookies,2013-02-10
45,1371,72,11,984,2,3,3,233,0,2014-06-28
46,9909,24,6,122,4,2,2,422,0,2012-09-11
47,7286,92,4,55,1,1,1,111,lost,2013-05-24
49,6566,39,17,1319,3,4,4,344,loyals,2012-08-11
50,8614,29,14,507,3,3,3,333,0,2014-12-05
51,4114,2,19,1693,4,4,4,444,stars,2012-11-08
52,1331,54,5,72,2,1,2,212,0,2013-02-01
53,2225,54,11,1617,2,3,4,234,big_spenders,2014-07-06
54,9381,57,14,606,2,3,3,233,0,2013-12-06
55,6260,55,16,1957,2,4,4,244,loyals,2012-11-19
56,10383,30,15,1093,3,4,4,344,loyals,2013-02-04
57,7437,31,5,29,3,1,1,311,0,2014-04-28
59,8375,63,14,518,2,3,3,233,0,2014-03-03
60,6853,12,14,1438,4,3,4,434,big_spenders,2013-04-07
61,3076,18,16,612,4,4,3,443,loyals,2012-07-09
62,1012,26,18,884,3,4,3,343,loyals,2013-02-18
63,6518,8,15,606,4,4,3,443,loyals,2013-11-06
64,4137,29,11,1076,3,3,4,334,big_spenders,2013-06-12
65,8082,75,3,34,1,1,1,111,lost,2013-05-21
66,1386,0,3,11,4,1,1,411,rookies,2014-11-05
67,9369,19,21,1274,4,4,4,444,stars,2014-03-19
68,4477,4,15,653,4,4,3,443,loyals,2013-09-27
69,1357,90,7,1562,1,2,4,124,big_spenders,2013-08-04
70,1402,1,10,1253,4,2,4,424,big_spenders,2012-11-09
72,6312,29,23,863,3,4,3,343,loyals,2013-03-17
73,8132,88,17,661,1,4,3,143,loyals,2013-05-04
74,1050,58,6,65,2,2,1,221,0,2014-04-30
75,5846,68,3,13,2,1,1,211,0,2012-12-19
76,1859,34,12,1890,3,3,4,334,big_spenders,2012-08-27
77,7503,40,14,2209,3,3,4,334,big_spenders,2012-12-10
78,10401,12,3,18,4,1,1,411,rookies,2013-04-09
79,1618,9,18,692,4,4,3,443,loyals,2013-02-01
80,3332,87,7,165,1,2,2,122,0,2012-08-29
81,2261,5,3,16,4,1,1,411,rookies,2013-06-23
82,5346,87,6,79,1,2,2,122,0,2013-03-07
83,4119,56,5,318,2,1,2,212,0,2013-11-05
84,535,18,16,778,4,4,3,443,loyals,2014-02-25
85,5268,95,5,56,1,1,1,111,lost,2013-11-08
86,273,48,7,151,3,2,2,322,0,2013-07-16
87,4452,3,12,372,4,3,2,432,0,2014-05-28
88,8504,70,12,1366,2,3,4,234,big_spenders,2014-12-05
89,771,79,7,194,1,2,2,122,0,2014-01-21
93,11178,69,4,32,2,1,1,211,0,2014-03-23
94,2230,84,6,43,1,2,1,121,0,2014-05-24
95,7516,30,5,45,3,1,1,311,0,2014-05-22
96,7247,72,13,606,2,3,3,233,0,2012-11-22
97,11100,37,5,63,3,1,1,311,0,2013-11-04
98,4646,44,17,978,3,4,3,343,loyals,2013-01-12
99,3037,32,12,410,3,3,3,333,0,2013-06-20
100,1473,0,5,72,4,1,2,412,0,2013-07-23
101,1016,43,5,55,3,1,1,311,0,2014-03-30
102,4518,59,20,1169,2,4,4,244,loyals,2013-04-20
103,9370,68,12,1120,2,3,4,234,big_spenders,2013-05-17
104,8908,35,8,1097,3,2,4,324,big_spenders,2014-08-05
105,8373,94,4,29,1,1,1,111,lost,2013-10-12
106,7533,15,8,187,4,2,2,422,0,2013-09-24
107,2683,56,18,910,2,4,3,243,loyals,2013-02-02
108,3629,17,6,145,4,2,2,422,0,2012-12-19
109,10991,18,9,850,4,2,3,423,0,2012-07-12
110,5077,46,17,969,3,4,3,343,loyals,2013-02-11
111,7431,40,12,1820,3,3,4,334,big_spenders,2012-10-11
112,3267,27,16,608,3,4,3,343,loyals,2014-06-25
113,999,95,17,730,1,4,3,143,loyals,2013-02-01
114,9215,19,12,551,4,3,3,433,0,2012-12-12
115,2286,27,5,114,3,1,2,312,0,2013-10-09
116,1592,25,9,1724,3,2,4,324,big_spenders,2014-01-24
117,367,74,14,577,2,3,3,233,0,2013-02-19
118,5234,85,4,81,1,1,2,112,0,2013-11-07
119,9862,37,5,33,3,1,1,311,0,2013-11-14
120,9805,65,16,660,2,4,3,243,loyals,2013-06-20
121,6205,13,5,80,4,1,2,412,0,2014-02-24
122,8442,63,4,30,2,1,1,211,0,2013-04-09
123,7386,83,4,43,1,1,1,111,lost,2013-04-22
124,7215,69,19,1135,2,4,4,244,loyals,2013-12-03
125,1491,87,10,559,1,2,3,123,0,2013-02-18
126,11071,37,9,1923,3,2,4,324,big_spenders,2013-04-21
127,3381,51,6,90,2,2,2,222,0,2014-08-06
129,11051,72,16,661,2,4,3,243,loyals,2014-10-05
130,8026,10,10,463,4,2,3,423,0,2013-09-30
131,433,42,17,632,3,4,3,343,loyals,2013-10-03
132,9597,10,16,725,4,4,3,443,loyals,2014-10-02
134,5290,51,10,279,2,2,2,222,0,2013-08-14
135,1685,21,17,1482,4,4,4,444,stars,2013-03-17
136,5342,31,4,29,3,1,1,311,0,2012-08-08
137,9579,61,4,106,2,1,2,212,0,2013-07-07
138,7660,37,3,49,3,1,1,311,0,2014-05-19
139,1461,74,5,38,2,1,1,211,0,2013-07-28
140,821,46,17,2077,3,4,4,344,loyals,2012-10-19
141,11084,4,10,1053,4,2,4,424,big_spenders,2013-11-14
142,8690,73,15,1385,2,4,4,244,loyals,2013-04-19
143,2937,47,17,871,3,4,3,343,loyals,2013-08-28
144,9701,13,7,312,4,2,2,422,0,2013-03-19
145,9949,36,9,877,3,2,3,323,0,2012-10-18
146,10837,47,5,68,3,1,1,311,0,2012-10-28
147,3120,49,3,22,3,1,1,311,0,2013-08-28
148,5885,94,8,211,1,2,2,122,0,2012-08-22
149,4050,65,6,127,2,2,2,222,0,2014-06-21
150,3830,59,11,459,2,3,3,233,0,2014-04-24
151,7987,96,14,460,1,3,3,133,0,2014-07-03
152,7798,28,12,429,3,3,3,333,0,2012-12-14
153,92,12,7,89,4,2,2,422,0,2014-12-05
154,7055,57,19,1021,2,4,3,243,loyals,2012-09-10
155,10240,10,16,1381,4,4,4,444,stars,2013-02-19
156,3025,4,11,306,4,3,2,432,0,2013-08-07
157,9283,49,3,18,3,1,1,311,0,2013-12-09
158,9970,3,7,162,4,2,2,422,0,2013-10-17
159,2730,64,13,1231,2,3,4,234,big_spenders,2013-08-20
160,2795,0,3,13,4,1,1,411,rookies,2013-01-07
161,9260,20,19,1706,4,4,4,444,stars,2012-05-11
162,8182,91,7,121,1,2,2,122,0,2014-05-01
163,10095,9,15,1293,4,4,4,444,stars,2013-01-05
164,8475,98,0,1608,1,1,4,114,big_spenders,2014-01-03
165,4370,83,6,88,1,2,2,122,0,2013-11-13
166,10573,27,10,421,3,2,3,323,0,2013-11-18
167,3712,63,9,259,2,2,2,222,0,2013-08-28
168,6637,46,10,1117,3,2,4,324,big_spenders,2013-02-11
169,3152,84,5,89,1,1,2,112,0,2014-02-25
170,5610,58,4,36,2,1,1,211,0,2014-04-21
171,6460,78,5,57,1,1,1,111,lost,2013-07-13
172,1349,4,6,148,4,2,2,422,0,2014-04-21
173,1880,17,5,93,4,1,2,412,0,2014-01-30
174,641,77,4,119,1,1,2,112,0,2014-04-04
175,8717,56,19,1835,2,4,4,244,loyals,2012-12-09
176,10314,79,14,1318,1,3,4,134,big_spenders,2012-12-16
177,10854,90,5,45,1,1,1,111,lost,2014-05-23
178,10492,96,3,10,1,1,1,111,lost,2014-06-24
179,6935,44,17,978,3,4,3,343,loyals,2013-01-12
180,7698,81,8,191,1,2,2,122,0,2014-11-05
181,3559,77,5,57,1,1,1,111,lost,2014-10-05
182,10562,21,19,1033,4,4,3,443,loyals,2013-09-28
183,10796,16,4,66,4,1,1,411,rookies,2014-01-22
184,2563,80,5,43,1,1,1,111,lost,2014-06-15
185,3518,45,3,50,3,1,1,311,0,2012-05-12
186,5823,63,5,39,2,1,1,211,0,2014-08-03
187,3934,34,15,608,3,4,3,343,loyals,2013-02-08
188,6982,14,13,1581,4,3,4,434,big_spenders,2013-03-19
189,6431,13,5,68,4,1,1,411,rookies,2013-02-23
190,9733,52,3,80,2,1,2,212,0,2012-09-09
191,5602,98,20,1282,1,4,4,144,loyals,2013-05-17
193,1324,93,6,91,1,2,2,122,0,2013-05-30
194,326,38,11,315,3,3,2,332,0,2013-02-18
195,7224,24,3,31,4,1,1,411,rookies,2013-12-29
196,6999,80,19,834,1,4,3,143,loyals,2014-05-13
197,9938,82,10,1600,1,2,4,124,big_spenders,2013-09-19
198,6422,20,10,1270,4,2,4,424,big_spenders,2013-01-17
199,3182,81,8,263,1,2,2,122,0,2014-03-31
200,7300,50,15,535,2,4,3,243,loyals,2014-06-29
201,10424,60,13,1295,2,3,4,234,big_spenders,2013-09-12
202,8727,63,20,1150,2,4,4,244,loyals,2013-10-14
203,2798,54,17,1240,2,4,4,244,loyals,2012-02-11
204,1030,72,4,38,2,1,1,211,0,2013-07-17
205,624,5,2,35,4,1,1,411,rookies,2012-10-11
206,5176,88,4,53,1,1,1,111,lost,2013-08-12
207,5552,50,9,293,2,2,2,222,0,2013-05-13
208,868,99,5,65,1,1,1,111,lost,2014-08-06
209,380,17,20,1804,4,4,4,444,stars,2012-10-09
210,2677,11,9,241,4,2,2,422,0,2013-03-31
211,6521,18,13,1101,4,3,4,434,big_spenders,2014-03-18
212,6927,70,10,264,2,2,2,222,0,2012-05-10
213,2877,21,15,541,4,4,3,443,loyals,2013-01-21
214,0,66,12,1198,2,3,4,234,big_spenders,2013-04-05
215,1584,79,13,482,1,3,3,133,0,2014-01-04
216,7264,2,3,17,4,1,1,411,rookies,2014-12-05
217,6274,81,14,1615,1,3,4,134,big_spenders,2013-11-15
218,1377,24,9,285,4,2,2,422,0,2013-08-31
219,454,48,22,1135,3,4,4,344,loyals,2012-11-14
220,1755,93,5,114,1,1,2,112,0,2014-11-04
221,2075,56,10,1047,2,2,3,223,0,2013-11-14
222,4785,3,17,714,4,4,3,443,loyals,2014-04-14
223,9076,44,8,185,3,2,2,322,0,2013-05-01
224,7079,38,21,1245,3,4,4,344,loyals,2012-08-09
225,4653,46,7,189,3,2,2,322,0,2013-03-26
226,7375,84,12,576,1,3,3,133,0,2012-10-25
227,709,27,13,1103,3,3,4,334,big_spenders,2012-09-12
228,460,72,11,1753,2,3,4,234,big_spenders,2012-08-08
229,3726,66,3,17,2,1,1,211,0,2014-02-16
230,6798,30,13,433,3,3,3,333,0,2013-03-20
231,5341,2,10,1588,4,2,4,424,big_spenders,2013-05-01
232,1606,65,3,22,2,1,1,211,0,2013-05-15
233,9617,37,4,19,3,1,1,311,0,2014-04-16
234,3233,89,18,1117,1,4,4,144,loyals,2013-03-23
235,89,49,6,69,3,2,1,321,0,2013-09-12
236,2936,46,4,23,3,1,1,311,0,2013-04-12
237,9449,32,16,605,3,4,3,343,loyals,2013-04-10
238,7297,54,6,57,2,2,1,221,0,2013-12-26
240,313,98,16,2088,1,4,4,144,loyals,2013-10-28
241,9940,97,10,1009,1,2,3,123,0,2012-12-23
242,10735,75,4,26,1,1,1,111,lost,2013-07-31
243,9529,8,12,1627,4,3,4,434,big_spenders,2013-11-28
244,6439,37,19,1102,3,4,4,344,loyals,2012-08-17
245,7411,31,4,17,3,1,1,311,0,2014-05-06
246,2176,40,11,1690,3,3,4,334,big_spenders,2013-05-20
247,9265,74,15,1390,2,4,4,244,loyals,2013-09-01
248,8867,90,9,2126,1,2,4,124,big_spenders,2012-08-31
249,8932,57,15,1531,2,4,4,244,loyals,2012-10-29
250,10236,59,5,64,2,1,1,211,0,2013-09-16
251,6340,52,4,26,2,1,1,211,0,2013-10-27
252,10089,5,19,1112,4,4,4,444,stars,2013-05-04
253,2227,92,8,210,1,2,2,122,0,2012-09-22
254,10992,77,15,1148,1,4,4,144,loyals,2012-08-29
255,5304,35,4,33,3,1,1,311,0,2012-10-13
256,309,48,13,1101,3,3,4,334,big_spenders,2012-10-16
257,3406,97,10,322,1,2,2,122,0,2012-10-22
258,2661,95,6,44,1,2,1,121,0,2013-04-06
259,3153,24,3,17,4,1,1,411,rookies,2013-08-12
260,10264,60,3,31,2,1,1,211,0,2012-10-10
261,1184,46,20,845,3,4,3,343,loyals,2013-05-22
262,4200,85,10,275,1,2,2,122,0,2014-06-17
263,9396,31,3,25,3,1,1,311,0,2012-11-23
264,2387,9,9,275,4,2,2,422,0,2013-03-02
265,6690,30,6,90,3,2,2,322,0,2013-03-14
266,1225,47,11,1495,3,3,4,334,big_spenders,2014-06-26
267,9703,70,5,184,2,1,2,212,0,2012-10-15
268,291,13,9,981,4,2,3,423,0,2013-06-19
269,4557,11,4,67,4,1,1,411,rookies,2013-04-10
270,2379,31,8,1635,3,2,4,324,big_spenders,2012-09-22
271,5726,15,7,60,4,2,1,421,0,2014-03-20
272,3066,2,8,231,4,2,2,422,0,2014-04-02
273,6336,55,6,48,2,2,1,221,0,2014-06-04
274,10967,38,6,99,3,2,2,322,0,2013-06-02
275,2304,86,18,770,1,4,3,143,loyals,2013-09-16
276,3445,56,17,957,2,4,3,243,loyals,2013-01-17
277,7828,29,8,818,3,2,3,323,0,2014-04-30
278,3762,30,11,925,3,3,3,333,0,2013-02-04
279,4391,64,18,908,2,4,3,243,loyals,2013-04-21
280,4669,46,7,102,3,2,2,322,0,2013-11-02
281,10144,84,12,576,1,3,3,133,0,2012-10-25
282,8652,20,10,317,4,2,2,422,0,2012-08-31
283,1672,74,13,461,2,3,3,233,0,2014-01-03
284,8962,18,5,37,4,1,1,411,rookies,2014-04-17
285,9974,75,5,70,1,1,2,112,0,2013-12-07
286,10983,17,19,930,4,4,3,443,loyals,2013-01-29
287,8148,88,18,859,1,4,3,143,loyals,2013-08-01
288,10102,19,10,1478,4,2,4,424,big_spenders,2014-12-05
289,4697,62,12,390,2,3,2,232,0,2013-06-13
290,9262,11,4,52,4,1,1,411,rookies,2013-04-07
291,7254,74,6,137,2,2,2,222,0,2013-12-27
292,4543,32,11,1919,3,3,4,334,big_spenders,2012-10-31
293,4927,76,6,68,1,2,1,121,0,2014-01-15
294,10451,6,3,25,4,1,1,411,rookies,2013-12-03
295,2926,62,14,1374,2,3,4,234,big_spenders,2012-08-23
296,2874,20,4,32,4,1,1,411,rookies,2013-07-03
297,9738,43,6,100,3,2,2,322,0,2013-01-13
298,7119,45,8,825,3,2,3,323,0,2013-12-01
299,3924,34,20,916,3,4,3,343,loyals,2014-03-17
300,5827,53,6,62,2,2,1,221,0,2014-04-16
301,5596,44,18,728,3,4,3,343,loyals,2013-12-10
302,10812,89,5,90,1,1,2,112,0,2014-01-03
303,1717,43,9,273,3,2,2,322,0,2014-04-13
304,9491,68,6,66,2,2,1,221,0,2013-12-27
305,9274,44,15,1213,3,4,4,344,loyals,2013-03-28
306,6609,64,6,107,2,2,2,222,0,2012-09-18
307,6963,85,12,1157,1,3,4,134,big_spenders,2014-05-03
308,4440,93,14,546,1,3,3,133,0,2013-10-09
309,1379,12,8,241,4,2,2,422,0,2013-04-27
310,10032,86,6,53,1,2,1,121,0,2014-01-18
311,2826,28,5,37,3,1,1,311,0,2013-10-28
313,6320,42,16,1508,3,4,4,344,loyals,2013-06-02
314,3050,13,9,235,4,2,2,422,0,2013-12-17
315,231,86,5,32,1,1,1,111,lost,2014-11-03
316,2392,59,6,102,2,2,2,222,0,2013-07-29
317,9478,30,10,401,3,2,3,323,0,2012-08-14
318,113,33,4,28,3,1,1,311,0,2013-07-16
320,1802,23,15,680,4,4,3,443,loyals,2013-01-17
321,520,81,3,30,1,1,1,111,lost,2013-01-07
322,8275,6,3,20,4,1,1,411,rookies,2014-09-02
323,9750,41,15,1307,3,4,4,344,loyals,2013-07-02
324,2607,78,16,630,1,4,3,143,loyals,2013-11-01
325,7214,49,9,1283,3,2,4,324,big_spenders,2013-05-07
326,5835,39,6,65,3,2,1,321,0,2013-02-07
327,3896,3,4,37,4,1,1,411,rookies,2013-07-11
328,10350,37,4,38,3,1,1,311,0,2013-09-05
329,7786,22,7,160,4,2,2,422,0,2013-02-13
330,2861,79,3,23,1,1,1,111,lost,2013-04-16
331,663,46,4,71,3,1,2,312,0,2013-11-09
332,10675,82,14,1161,1,3,4,134,big_spenders,2013-03-04
333,2521,10,3,59,4,1,1,411,rookies,2013-10-01
334,9592,51,5,33,2,1,1,211,0,2013-06-30
335,10151,38,16,946,3,4,3,343,loyals,2012-12-09
336,7381,10,17,1442,4,4,4,444,stars,2012-06-12
337,4099,14,4,62,4,1,1,411,rookies,2012-12-11
338,9560,18,15,1674,4,4,4,444,stars,2013-03-03
340,10172,95,15,1538,1,4,4,144,loyals,2012-10-08
341,11191,11,6,139,4,2,2,422,0,2013-07-12
342,9707,65,15,1182,2,4,4,244,loyals,2012-11-23
343,6245,71,11,507,2,3,3,233,0,2013-06-13
344,8234,13,3,18,4,1,1,411,rookies,2013-08-15
345,1411,58,6,940,2,2,3,223,0,2013-10-11
346,8553,65,4,42,2,1,1,211,0,2013-06-23
347,1826,0,10,1190,4,2,4,424,big_spenders,2014-06-16
348,8842,33,5,44,3,1,1,311,0,2012-12-25
349,11030,90,3,16,1,1,1,111,lost,2014-03-01
350,2579,95,15,835,1,4,3,143,loyals,2013-12-17
351,175,93,16,1443,1,4,4,144,loyals,2013-10-01
352,9185,38,9,1029,3,2,3,323,0,2013-10-28
353,11056,18,13,1188,4,3,4,434,big_spenders,2012-10-27
354,9365,57,16,1277,2,4,4,244,loyals,2012-12-22
355,6201,45,5,49,3,1,1,311,0,2013-11-29
356,2061,61,6,99,2,2,2,222,0,2013-11-05
357,6184,6,11,1670,4,3,4,434,big_spenders,2012-12-12
358,6142,65,10,900,2,2,3,223,0,2013-08-20
359,4107,52,8,425,2,2,3,223,0,2013-08-10
360,7274,87,14,2153,1,3,4,134,big_spenders,2012-09-28
361,9336,38,16,636,3,4,3,343,loyals,2014-03-22
362,2958,53,6,57,2,2,1,221,0,2014-02-24
363,933,31,3,25,3,1,1,311,0,2012-11-23
364,5837,67,12,494,2,3,3,233,0,2012-12-28
365,10704,65,15,693,2,4,3,243,loyals,2012-08-21
366,5125,64,15,1348,2,4,4,244,loyals,2013-05-17
367,4432,82,5,51,1,1,1,111,lost,2013-03-16
368,5955,27,12,1932,3,3,4,334,big_spenders,2012-11-17
369,2928,63,10,990,2,2,3,223,0,2012-01-12
370,5680,66,4,30,2,1,1,211,0,2014-04-22
371,10313,69,9,254,2,2,2,222,0,2012-10-28
372,2557,52,3,29,2,1,1,211,0,2013-08-29
373,1245,45,16,1371,3,4,4,344,loyals,2012-11-11
374,1519,2,6,73,4,2,2,422,0,2013-06-22
375,10703,86,5,120,1,1,2,112,0,2012-08-18
376,1726,23,3,81,4,1,2,412,0,2013-03-18
377,4459,13,4,37,4,1,1,411,rookies,2012-12-30
378,1729,14,13,1377,4,3,4,434,big_spenders,2013-02-10
379,1517,92,4,51,1,1,1,111,lost,2013-06-14
380,2098,38,3,17,3,1,1,311,0,2013-08-01
381,9543,74,3,22,2,1,1,211,0,2013-11-14
382,6878,14,10,324,4,2,2,422,0,2012-12-12
383,3310,94,8,211,1,2,2,122,0,2012-08-22
384,2724,33,2,19,3,1,1,311,0,2014-03-30
385,948,32,3,41,3,1,1,311,0,2013-05-15
386,6720,11,11,492,4,3,3,433,0,2013-10-16
387,6202,78,17,1005,1,4,3,143,loyals,2012-05-10
388,2066,56,5,114,2,1,2,212,0,2012-08-30
389,9799,57,14,1173,2,3,4,234,big_spenders,2013-08-05
390,8318,7,13,1738,4,3,4,434,big_spenders,2014-03-01
391,5642,0,9,222,4,2,2,422,0,2013-09-12
392,2669,66,11,1127,2,3,4,234,big_spenders,2014-04-05
393,455,86,8,209,1,2,2,122,0,2013-04-18
394,7683,80,17,787,1,4,3,143,loyals,2014-02-25
395,3428,56,14,1598,2,3,4,234,big_spenders,2013-06-10
396,7414,18,7,186,4,2,2,422,0,2012-09-15
397,6354,51,3,47,2,1,1,211,0,2012-08-31
398,798,71,4,27,2,1,1,211,0,2012-12-24
399,8213,71,5,96,2,1,2,212,0,2012-09-11
400,2488,80,5,64,1,1,1,111,lost,2013-03-23
401,9999,2,18,1040,4,4,3,443,loyals,2012-09-27
402,7617,83,7,163,1,2,2,122,0,2013-08-15
403,615,29,9,343,3,2,2,322,0,2013-11-03
404,2552,11,12,446,4,3,3,433,0,2013-10-22
405,194,55,4,41,2,1,1,211,0,2014-09-06
406,3645,19,6,70,4,2,2,422,0,2012-08-30
407,8890,1,10,272,4,2,2,422,0,2014-05-30
408,5049,19,5,46,4,1,1,411,rookies,2013-06-06
409,9973,28,15,490,3,4,3,343,loyals,2012-10-17
410,7301,76,6,79,1,2,2,122,0,2012-11-17
411,10882,50,10,915,2,2,3,223,0,2012-09-11
412,7030,1,23,1485,4,4,4,444,stars,2013-03-30
413,7422,90,12,369,1,3,2,132,0,2012-08-22
414,3523,83,13,1073,1,3,4,134,big_spenders,2013-01-23
415,7106,73,13,1242,2,3,4,234,big_spenders,2014-03-31
416,6504,24,5,78,4,1,2,412,0,2013-11-20
417,5067,11,13,1378,4,3,4,434,big_spenders,2014-02-14
418,4216,33,16,1474,3,4,4,344,loyals,2013-02-22
419,8581,4,18,751,4,4,3,443,loyals,2013-05-03
420,5929,14,5,48,4,1,1,411,rookies,2014-06-05
421,3129,30,5,45,3,1,1,311,0,2014-05-22
422,6528,75,3,10,1,1,1,111,lost,2014-05-06
423,1361,26,11,1435,3,3,4,334,big_spenders,2013-04-06
424,6932,77,12,2119,1,3,4,134,big_spenders,2013-04-13
425,7284,8,3,20,4,1,1,411,rookies,2013-04-12
426,1340,42,19,1795,3,4,4,344,loyals,2014-04-24
427,8746,28,12,1188,3,3,4,334,big_spenders,2014-05-04
428,5987,52,5,43,2,1,1,211,0,2014-04-05
429,3767,1,17,1008,4,4,3,443,loyals,2013-04-25
430,3725,1,11,1688,4,3,4,434,big_spenders,2013-09-05
431,4324,42,15,684,3,4,3,343,loyals,2012-10-29
432,238,76,18,1082,1,4,4,144,loyals,2013-01-23
433,6694,27,21,1068,3,4,4,344,loyals,2013-11-25
434,498,28,5,57,3,1,1,311,0,2014-02-02
435,9347,49,4,46,3,1,1,311,0,2013-06-21
436,9699,12,18,733,4,4,3,443,loyals,2013-12-21
437,10664,14,14,467,4,3,3,433,0,2013-07-09
438,5455,89,6,122,1,2,2,122,0,2013-08-22
439,456,96,5,36,1,1,1,111,lost,2013-07-02
440,5012,56,4,34,2,1,1,211,0,2013-04-07
441,7495,72,7,156,2,2,2,222,0,2013-12-20
442,5029,14,3,14,4,1,1,411,rookies,2013-06-08
443,10642,13,4,37,4,1,1,411,rookies,2012-12-30
444,2106,99,4,34,1,1,1,111,lost,2014-03-17
445,10364,72,3,20,2,1,1,211,0,2013-07-13
446,5954,92,9,192,1,2,2,122,0,2013-09-10
447,1137,87,11,1379,1,3,4,134,big_spenders,2013-12-29
448,2541,7,5,48,4,1,1,411,rookies,2013-09-06
449,1142,91,12,428,1,3,3,133,0,2013-12-22
450,2276,71,15,868,2,4,3,243,loyals,2013-02-05
451,2807,24,15,1001,4,4,3,443,loyals,2013-02-16
452,6471,17,6,59,4,2,1,421,0,2013-10-17
453,6131,87,12,431,1,3,3,133,0,2013-01-12
454,6233,21,19,971,4,4,3,443,loyals,2012-07-09
455,4148,90,11,348,1,3,2,132,0,2012-08-20
456,4947,44,16,2059,3,4,4,344,loyals,2012-09-15
457,3225,71,9,265,2,2,2,222,0,2013-01-04
458,7540,52,10,270,2,2,2,222,0,2014-05-25
459,10648,78,11,1289,1,3,4,134,big_spenders,2012-09-25
460,1992,2,10,893,4,2,3,423,0,2014-01-01
461,7851,60,14,926,2,3,3,233,0,2013-09-22
462,8594,25,6,135,3,2,2,322,0,2014-01-28
